Mouse gene name	Gene name	Gene stable ID
	OR5G1P	ENSG00000281313
	BCL2L14	ENSG00000281449
	OR5G4P	ENSG00000281279
	OR5G5P	ENSG00000262535
	OR5G3	ENSG00000281107
	LINC02735	ENSG00000281839
	PTMAP9	ENSG00000281442
	MIR1244-4	ENSG00000283344
	LRP6	ENSG00000281324
	SYT15B	ENSG00000288175
		ENSG00000288244
	NPY4R2	ENSG00000288157
		ENSG00000288304
	FAM25C	ENSG00000288481
	AGAP12P	ENSG00000288424
	AGAP12P	ENSG00000290627
	RNA5SP315	ENSG00000288201
	BMS1P7	ENSG00000288196
		ENSG00000288457
	TOLLIP	ENSG00000291426
	TOLLIP-DT	ENSG00000291427
		ENSG00000291429
	LINC02689	ENSG00000291430
	BRSK2	ENSG00000291428
	RPL21P100	ENSG00000280475
	RNU6-545P	ENSG00000206783
		ENSG00000281874
	RNU6-318P	ENSG00000207477
	MANSC1	ENSG00000281818
		ENSG00000291441
	DUSP8	ENSG00000291431
	KRTAP5-AS1	ENSG00000291432
	RPL23AP66	ENSG00000281051
	KRTAP5-1	ENSG00000291433
	LOH12CR2	ENSG00000281234
	KRTAP5-2	ENSG00000291434
	KRTAP5-3	ENSG00000291435
	KRTAP5-4	ENSG00000291440
	KRTAP5-5	ENSG00000291443
	BORCS5	ENSG00000280689
		ENSG00000291436
	FAM99A	ENSG00000291437
	FAM99B	ENSG00000291438
	LINC02708	ENSG00000291439
	MOB2	ENSG00000291442
		ENSG00000281168
	DUSP16	ENSG00000280962
		ENSG00000288522
	HMX1	ENSG00000288204
		ENSG00000281671
		ENSG00000281525
		ENSG00000288247
		ENSG00000282467
		ENSG00000288135
		ENSG00000288322
		ENSG00000288356
	Y_RNA	ENSG00000288117
	RBMY3AP	ENSG00000291444
	CDY3P	ENSG00000291445
	TSPY25P	ENSG00000291446
		ENSG00000288372
	USP9YP22	ENSG00000291447
	TSPY16P	ENSG00000291448
		ENSG00000288288
	USP9YP4	ENSG00000291449
	ELOCP4	ENSG00000291450
		ENSG00000288129
	RBMY1A3P	ENSG00000291451
		ENSG00000291452
	LINC03015	ENSG00000288472
	TTTY20	ENSG00000291453
	TSPY8	ENSG00000291455
	FAM197Y7	ENSG00000291456
		ENSG00000291457
	TSPY4	ENSG00000291458
	TSPY9	ENSG00000291459
	FAM197Y2	ENSG00000291460
	FAM197Y4	ENSG00000291461
	FAM197Y4	ENSG00000291462
	FAM197Y8	ENSG00000291454
	LINC03014	ENSG00000288417
	FAM197Y8	ENSG00000293355
		ENSG00000288502
		ENSG00000288311
		ENSG00000288449
	FAM20C	ENSG00000288499
		ENSG00000288159
		ENSG00000288431
	SERTAD4-AS1	ENSG00000280963
	SERTAD4	ENSG00000281230
	OR4C12	ENSG00000284255
	OR4C48P	ENSG00000284278
	ST13P19	ENSG00000281067
	OR4C49P	ENSG00000284123
	OR4C45	ENSG00000292249
		ENSG00000281552
	HHAT	ENSG00000280680
	GRK1	ENSG00000288263
	LINC00552	ENSG00000288305
		ENSG00000287371
	RNU5A-8P	ENSG00000281499
		ENSG00000287648
	BPNT2P1	ENSG00000280937
	ARHGEF19	ENSG00000291381
		ENSG00000291405
	ANO7L1	ENSG00000291404
		ENSG00000291376
	CPLANE2	ENSG00000291382
	MT1XP1	ENSG00000291377
	FBXO42	ENSG00000291375
	SZRD1	ENSG00000291379
	RPL22P3	ENSG00000291374
	SPATA21	ENSG00000291401
	NECAP2	ENSG00000291380
	LINC01772	ENSG00000291388
	CROCCP3	ENSG00000291402
	RNU1-1	ENSG00000291389
		ENSG00000291390
		ENSG00000291391
	LINC01783	ENSG00000291392
	RNU1-6P	ENSG00000291393
	PDE4DIPP8	ENSG00000291394
		ENSG00000291386
	RNU1-2	ENSG00000291385
		ENSG00000291408
		ENSG00000291384
	LINC03126	ENSG00000291400
	RNU1-5P	ENSG00000291383
	ELOCP5	ENSG00000285019
		ENSG00000291395
	CDY10P	ENSG00000285196
		ENSG00000291397
	EIF1AXP1	ENSG00000291398
	RNU1-3	ENSG00000291396
	RNU1-4	ENSG00000291399
	PADI2	ENSG00000291387
	USP9YP3	ENSG00000285308
		ENSG00000292230
	USP9YP8	ENSG00000285028
	CROCCP4	ENSG00000291403
	CDY11P	ENSG00000285455
		ENSG00000292231
	OFD1P16Y	ENSG00000285477
		ENSG00000291407
		ENSG00000292235
		ENSG00000292236
	LINC01300	ENSG00000291463
		ENSG00000292238
		ENSG00000291464
	GPR20	ENSG00000291465
		ENSG00000291472
		ENSG00000292239
	ASTILCS	ENSG00000291466
		ENSG00000292240
	PTP4A3	ENSG00000291470
		ENSG00000292241
		ENSG00000292242
		ENSG00000292229
		ENSG00000291467
		ENSG00000291468
	HNRNPA1P38	ENSG00000291469
		ENSG00000291471
		ENSG00000292226
	C8orf90	ENSG00000291474
	MROH5	ENSG00000291473
		ENSG00000292228
		ENSG00000292227
	NBPF1	ENSG00000292225
	RPL14P5	ENSG00000292328
		ENSG00000292329
	DHRSX-IT1	ENSG00000292337
	DHRSX	ENSG00000292338
	RNU6-1004P	ENSG00000285481
	ORAI1	ENSG00000293604
	LINC00685	ENSG00000292342
	MIR6089	ENSG00000292346
	LINC00102	ENSG00000292347
	Metazoa_SRP	ENSG00000292350
	FABP5P13	ENSG00000292352
	KRT18P53	ENSG00000292353
	SHOX	ENSG00000292354
	MIR3690	ENSG00000292355
	RNA5SP498	ENSG00000292356
	CD99P1	ENSG00000292361
	CRLF2	ENSG00000292363
	ASMT	ENSG00000292336
		ENSG00000292330
		ENSG00000310541
		ENSG00000310543
		ENSG00000310544
		ENSG00000310545
		ENSG00000310546
	ASMTL-AS1	ENSG00000292331
		ENSG00000291410
		ENSG00000291411
		ENSG00000310547
		ENSG00000291412
		ENSG00000310548
		ENSG00000291413
		ENSG00000292349
	MIR4740	ENSG00000291414
	MIR3186	ENSG00000291415
		ENSG00000291416
	LINC01971	ENSG00000291417
		ENSG00000291418
	ACTG1	ENSG00000291420
	LINC00106	ENSG00000292341
		ENSG00000310549
		ENSG00000310551
		ENSG00000310552
		ENSG00000292335
		ENSG00000310553
		ENSG00000310554
		ENSG00000310556
	LINC02968	ENSG00000310540
	BAHCC1	ENSG00000291421
		ENSG00000291422
		ENSG00000291423
		ENSG00000291424
	LINC03048	ENSG00000291425
	CD99P1	ENSG00000292362
	LINC03112	ENSG00000292360
		ENSG00000310557
	ZBED1	ENSG00000292345
		ENSG00000284750
	PPP2R3B	ENSG00000292327
		ENSG00000285415
	RPL21P63	ENSG00000285209
	GCNT2P1	ENSG00000284885
		ENSG00000285893
	C6orf52	ENSG00000285312
		ENSG00000288406
	CD99	ENSG00000292348
	Y_RNA	ENSG00000284941
	PAK1IP1	ENSG00000285226
	TMEM14C	ENSG00000284936
	PLCXD1	ENSG00000292344
	GCNT2	ENSG00000285222
	P2RY8	ENSG00000292333
	IL3RA	ENSG00000292332
	GTPBP6	ENSG00000292358
	SLC25A6	ENSG00000292334
	ASMTL	ENSG00000292339
	CSF2RA	ENSG00000292357
		ENSG00000288260
	RNU5B-4P	ENSG00000288430
	ECSCR	ENSG00000288297
	SMIM33	ENSG00000288274
	STING1	ENSG00000288243
	CTBP2P1	ENSG00000281211
	AKAP17A	ENSG00000292343
	AMD1P2	ENSG00000292364
	DPH3P2	ENSG00000292365
	ELOCP24	ENSG00000292367
	TRPC6P1	ENSG00000292368
		ENSG00000292369
	DDX11L16	ENSG00000292371
	WASH6P	ENSG00000292372
		ENSG00000310550
		ENSG00000310555
	WASIR1	ENSG00000292370
		ENSG00000310542
	IL9R	ENSG00000292373
	VAMP7	ENSG00000292366
		ENSG00000288388
	NCOA4P4	ENSG00000288138
	TSPY24P	ENSG00000215601
	ZNF92P1Y	ENSG00000215603
	SERBP1P2	ENSG00000225878
	TSPY12P	ENSG00000236435
	DUX4L19	ENSG00000258991
		ENSG00000224518
	OFD1P3Y	ENSG00000231988
	RBMY2HP	ENSG00000238073
		ENSG00000275866
	ELOCP35	ENSG00000271595
	SLC9B1P1	ENSG00000183704
	USP12PY	ENSG00000232927
	KDM5DP1	ENSG00000277438
	DUX4L17	ENSG00000259154
		ENSG00000283163
		ENSG00000273863
		ENSG00000271375
	ZNF736P6Y	ENSG00000224634
	TUSC2P1	ENSG00000285470
	PUDPP1	ENSG00000234620
		ENSG00000236690
	CDRT15P10	ENSG00000273693
		ENSG00000223422
	RNF19BPY	ENSG00000225653
	TUBB1P2	ENSG00000228578
		ENSG00000275280
	ACTR3BP1	ENSG00000270242
	RPS24P1	ENSG00000236477
	RCC2P2	ENSG00000237997
	ZNF736P8Y	ENSG00000244246
	BPY2	ENSG00000183753
	MTND1P12	ENSG00000225433
	CTBP2P1	ENSG00000235857
	MTND6P1	ENSG00000223955
	PABPC1P5	ENSG00000270455
	RCC2P1	ENSG00000234385
	SHROOM2P1	ENSG00000226863
		ENSG00000271365
	DUX4L18	ENSG00000259029
	ZNF736P11Y	ENSG00000215537
	BPY2DP	ENSG00000229745
	CHEK2P1	ENSG00000275828
	ZNF886P	ENSG00000232522
	OFD1P16Y	ENSG00000277519
		ENSG00000273731
	ASS1P6	ENSG00000215583
	SNX18P1Y	ENSG00000274162
	MED14P1	ENSG00000233774
	ZNF885P	ENSG00000228764
	ARSFP1	ENSG00000232226
		ENSG00000224567
	ZNF736P7Y	ENSG00000241200
	SURF6P1	ENSG00000228518
		ENSG00000274231
	ANKRD20A6P	ENSG00000274502
		ENSG00000278854
	RBMY2KP	ENSG00000225809
	TTTY19	ENSG00000232419
	TTTY4	ENSG00000226906
		ENSG00000230025
	MXRA5Y	ENSG00000235649
	DUX4L16	ENSG00000258567
	MTCYBP1	ENSG00000234179
		ENSG00000271309
	TTTY17A	ENSG00000228240
	AGPAT5P1	ENSG00000234652
		ENSG00000218410
	FAM41AY1	ENSG00000224989
		ENSG00000273858
	TRIM60P3Y	ENSG00000227830
	MTND1P1	ENSG00000226529
		ENSG00000274837
	PRRC2CP1	ENSG00000216777
	ZNF736P10Y	ENSG00000216824
		ENSG00000276829
		ENSG00000283076
	MTND2P3	ENSG00000234850
		ENSG00000270570
		ENSG00000223517
		ENSG00000228207
	ARSDP1	ENSG00000225117
	CDY4P	ENSG00000228411
	UBE2V1P3	ENSG00000229518
	FAM8A4P	ENSG00000232730
		ENSG00000244000
	TRIM60P8Y	ENSG00000232764
	MED13P1	ENSG00000236131
	CYCSP46	ENSG00000227949
Gm22305	RNU6-303P	ENSG00000252900
Gm24615		ENSG00000252689
	RN7SL702P	ENSG00000243980
	RNA5SP520	ENSG00000252315
	RNA5SP521	ENSG00000252012
		ENSG00000273966
	RNU6-109P	ENSG00000252173
	RNU6-184P	ENSG00000252323
Hsfy2	HSFY2	ENSG00000169953
	RNA5SP266	ENSG00000284058
	GPM6BP2	ENSG00000236429
	USP9YP2	ENSG00000249501
	ELOCP14	ENSG00000228193
	XKRYP2	ENSG00000230904
	USP9YP10	ENSG00000238135
	RNU1-41P	ENSG00000251970
	OFD1P7Y	ENSG00000238088
	MTCYBP2	ENSG00000217179
	ZNF839P1	ENSG00000217896
	CD24P4	ENSG00000185275
	RNU6-255P	ENSG00000252766
		ENSG00000274282
	GAPDHP19	ENSG00000234529
	CLUHP1	ENSG00000238191
	TAF9P1	ENSG00000226353
	CDY5P	ENSG00000226449
	ELOCP36	ENSG00000225896
	ACTG1P2	ENSG00000229129
	USP9YP23	ENSG00000223555
	USP9YP27	ENSG00000235521
	RNU1-128P	ENSG00000252513
	TRAPPC2P3	ENSG00000224964
	ELOCP6	ENSG00000225740
	CDY6P	ENSG00000229138
	USP9YP7	ENSG00000224485
	USP9YP6	ENSG00000226116
	CDY7P	ENSG00000237558
	USP9YP34	ENSG00000233378
	USP9YP32	ENSG00000237616
	CDY8P	ENSG00000224033
	ELOCP12	ENSG00000230412
	TRAPPC2P8	ENSG00000225895
	USP9YP15	ENSG00000233120
	RNU1-95P	ENSG00000252166
	USP9YP16	ENSG00000232744
	ACTG1P11	ENSG00000229465
	ELOCP26	ENSG00000236599
	CDY9P	ENSG00000232899
	TAF9P2	ENSG00000229302
	CLUHP2	ENSG00000228945
		ENSG00000278391
	RNA5SP522	ENSG00000251953
	RNA5SP523	ENSG00000252667
	TUBB1P1	ENSG00000249726
	ELOCP13	ENSG00000225716
	OFD1P4Y	ENSG00000229406
	RNU1-48P	ENSG00000252209
	USP9YP5	ENSG00000249634
	XKRYP1	ENSG00000238067
	ELOCP7	ENSG00000230377
	USP9YP1	ENSG00000250951
	GPM6BP1	ENSG00000230458
	RAB9AP4	ENSG00000235479
	TRAPPC2P7	ENSG00000249606
		ENSG00000267793
		ENSG00000260197
Hsfy2	HSFY1	ENSG00000172468
Tgif2lx1	TGIF2LY	ENSG00000176679
Tgif2lx2	TGIF2LY	ENSG00000176679
Cdyl	CDY2A	ENSG00000182415
	ZNF736P3Y	ENSG00000233126
	TRIM60P9Y	ENSG00000227251
	RN7SKP282	ENSG00000252633
	Y_RNA	ENSG00000251996
	RNU6-941P	ENSG00000252155
	RNU6-521P	ENSG00000252472
	SRIP3	ENSG00000224953
		ENSG00000274365
	GOT2P5	ENSG00000233634
	ATP5PFP1	ENSG00000237701
		ENSG00000273906
	TRIM60P10Y	ENSG00000232976
	ZNF736P2Y	ENSG00000226270
	TRIM60P11Y	ENSG00000227837
		ENSG00000278602
	ZNF736P1Y	ENSG00000223978
		ENSG00000278197
	ZNF736P5Y	ENSG00000230819
	BPY2C	ENSG00000185894
	TTTY4C	ENSG00000228296
	DAZ4	ENSG00000205916
	ITGA9	ENSG00000291488
	RPL21P135	ENSG00000291489
	NDUFAF4P3	ENSG00000291491
	RNU7-73P	ENSG00000291493
		ENSG00000291494
		ENSG00000291495
	ITGA9-AS1	ENSG00000291496
Cdyl	CDY2B	ENSG00000129873
	RNU6-1334P	ENSG00000251841
Sry	SRY	ENSG00000184895
	TOMM22P2	ENSG00000232195
		ENSG00000286130
	RPS4Y1	ENSG00000129824
	NAP1L1P2	ENSG00000229163
		ENSG00000278847
	EEF1A1P41	ENSG00000223600
	PSMA6P1	ENSG00000215414
	SFPQP1	ENSG00000224035
	DPPA2P1	ENSG00000223915
	CASKP1	ENSG00000234059
Tmsb4x	TMSB4Y	ENSG00000154620
	VCY	ENSG00000129864
	DAZ3	ENSG00000187191
	DAZ1	ENSG00000188120
	SNORA70	ENSG00000251925
		ENSG00000286744
		ENSG00000236647
	AMELY	ENSG00000099721
Tbl1x	TBL1Y	ENSG00000092377
	DAZ2	ENSG00000205944
	C1R	ENSG00000288512
	AGKP1	ENSG00000226555
	NLGN4Y-AS1	ENSG00000228787
	CDY22P	ENSG00000229343
	ELOCP17	ENSG00000232695
	OFD1P18Y	ENSG00000235511
	TRAPPC2P4	ENSG00000232914
	RAB9AP3	ENSG00000223655
	USP9YP20	ENSG00000230854
	RNU1-40P	ENSG00000252625
	USP9YP21	ENSG00000227635
	XKRYP6	ENSG00000237546
	ELOCP11	ENSG00000227867
	CDY23P	ENSG00000231716
	USP9YP26	ENSG00000234744
	HSFY8P	ENSG00000233156
		ENSG00000289705
		ENSG00000225876
	SNORA70	ENSG00000251796
Gm22281	RNU6-1314P	ENSG00000252948
	CYCSP48	ENSG00000233843
	VCY1B	ENSG00000129862
	IBTK	ENSG00000283068
	PNPLA4P1	ENSG00000235451
	C1RL	ENSG00000288124
		ENSG00000289706
	TBL1YP1	ENSG00000225624
	RPS4Y2	ENSG00000280969
	HSFY4P	ENSG00000224482
		ENSG00000216844
	GAPDHP17	ENSG00000229551
	TMEM167AP1	ENSG00000226504
		ENSG00000254488
	TOMM22P1	ENSG00000237427
	NEFLP1	ENSG00000232634
		ENSG00000226918
	PRORY	ENSG00000183146
		ENSG00000236615
	TSPY14P	ENSG00000169849
	RBMY1HP	ENSG00000169811
		ENSG00000242393
		ENSG00000228257
	TTTY13	ENSG00000184991
	ELOCP5	ENSG00000271123
	CDY10P	ENSG00000226042
	USP9YP3	ENSG00000237023
	USP9YP8	ENSG00000229416
	CDY11P	ENSG00000230029
	HSFY6P	ENSG00000224169
	USP9YP18	ENSG00000223407
	CDY14P	ENSG00000226873
	ELOCP16	ENSG00000227915
	XKRYP3	ENSG00000236620
	USP9YP25	ENSG00000224866
	USP9YP29	ENSG00000232424
	RNU1-97P	ENSG00000252681
	RAB9AP1	ENSG00000232910
	TRAPPC2P9	ENSG00000232845
	OFD1P11Y	ENSG00000237302
Gm26020	RNU2-57P	ENSG00000252468
	VDAC1P6	ENSG00000231341
	EIF4A1P2	ENSG00000235001
	KRT18P10	ENSG00000214207
	SNX3P1Y	ENSG00000278585
	C1RL-AS1	ENSG00000288352
	RPL26P37	ENSG00000235175
Pcdh11x	PCDH11Y	ENSG00000099715
	RBP5	ENSG00000288369
	ELOCP9	ENSG00000231540
	CDY15P	ENSG00000223362
	XKRYP4	ENSG00000231026
	USP9YP13	ENSG00000224571
	USP9YP11	ENSG00000226369
	RNU6-485P	ENSG00000284403
	TTTY3B	ENSG00000280961
		ENSG00000288383
	USP9YP12	ENSG00000227871
	RNU1-86P	ENSG00000251917
	RAB9AP5	ENSG00000231423
	CLSTN3	ENSG00000288427
	TRAPPC2P10	ENSG00000228465
	OFD1P12Y	ENSG00000232585
	ELOCP10	ENSG00000234081
Cdyl	CDY1B	ENSG00000172352
	CDY17P	ENSG00000231375
	USP9YP35	ENSG00000237467
	USP9YP31	ENSG00000229250
	CDY18P	ENSG00000232205
		ENSG00000230977
	RN7SL818P	ENSG00000274234
	UBE2Q2P4Y	ENSG00000225491
	LINC00265-2P	ENSG00000224827
	CICP2	ENSG00000233740
		ENSG00000279274
	RBMY2XP	ENSG00000234399
	TTTY17B	ENSG00000227439
	TRIM60P5Y	ENSG00000224210
	ZNF736P12Y	ENSG00000232003
	TTTY4B	ENSG00000235412
	BPY2B	ENSG00000183795
		ENSG00000240566
	ZNF736P4Y	ENSG00000236379
		ENSG00000274899
	RBMY2YP	ENSG00000227633
		ENSG00000279115
	CICP1	ENSG00000233652
	LINC00265-3P	ENSG00000233944
	UBE2Q2P5Y	ENSG00000223636
	GOLGA2P3Y	ENSG00000172297
	RN7SL725P	ENSG00000278242
		ENSG00000233619
	CDY19P	ENSG00000237823
	USP9YP36	ENSG00000229709
	USP9YP33	ENSG00000232064
	CDY20P	ENSG00000225609
	ELOCP34	ENSG00000270535
	OFD1P13Y	ENSG00000225287
	TRAPPC2P5	ENSG00000225256
	RAB9AP2	ENSG00000223856
	USP9YP30	ENSG00000235004
	RNU1-107P	ENSG00000252426
	TTTY3	ENSG00000231141
	USP9YP9	ENSG00000232614
	USP9YP19	ENSG00000225326
	XKRYP5	ENSG00000223406
	CYCSP49	ENSG00000224240
	SLC25A15P1	ENSG00000227629
	PARP4P1	ENSG00000237917
	CCNQP2	ENSG00000231514
Cdyl	CDY1	ENSG00000172288
Rbmyf9	RBMY1B	ENSG00000242875
Rbmyf8	RBMY1B	ENSG00000242875
Rbmyf4	RBMY1B	ENSG00000242875
Rbmyf5	RBMY1B	ENSG00000242875
Rbmyf7	RBMY1B	ENSG00000242875
Rbmyf2	RBMY1B	ENSG00000242875
Rbmyf6	RBMY1B	ENSG00000242875
Rbmyf3	RBMY1B	ENSG00000242875
Rbmy	RBMY1B	ENSG00000242875
Rbmyf1	RBMY1B	ENSG00000242875
		ENSG00000288281
		ENSG00000288116
Rbmyf9	RBMY1A1	ENSG00000234414
Rbmyf8	RBMY1A1	ENSG00000234414
Rbmyf4	RBMY1A1	ENSG00000234414
Rbmyf5	RBMY1A1	ENSG00000234414
Rbmyf7	RBMY1A1	ENSG00000234414
Rbmyf2	RBMY1A1	ENSG00000234414
Rbmyf6	RBMY1A1	ENSG00000234414
Rbmyf3	RBMY1A1	ENSG00000234414
Rbmy	RBMY1A1	ENSG00000234414
Rbmyf1	RBMY1A1	ENSG00000234414
	PEX5	ENSG00000288217
	RFTN1P1	ENSG00000234795
		ENSG00000173357
		ENSG00000290342
	TTTY11	ENSG00000180910
	ARSLP1	ENSG00000224060
